Entry,TicketClass,Sex,Age,Price,Order,Name,Ticket Number,Bank Balance
0,3,male,22,7,61,"Sirayanian, Mr. Orsen",877304,98463
1,1,female,38,80,62,"Icard, Miss. Amelie",574499,97040
0,1,male,45,83,63,"Harris, Mr. Henry Birkhardt",406621,28936
0,3,male,4,28,64,"Skoog, Master. Harald",153580,43861
0,1,male,,28,65,"Stewart, Mr. Albert A",855113,41093
1,3,male,,15,66,"Moubarek, Master. Gerios",311225,15598
1,2,female,29,11,67,"Nye, Mrs. (Elizabeth Ramell)",288063,64332
0,3,male,19,8,68,"Crease, Mr. Ernest James",343917,93804
1,3,female,17,8,69,"Andersson, Miss. Erna Alexandra",198240,43589
0,3,male,26,9,70,"Kink, Mr. Vincenz",977497,46572
0,2,male,32,11,71,"Jenkin, Mr. Stephen Curnow",611379,38556
0,3,female,16,47,72,"Goodwin, Miss. Lillian Amy",376343,42729
0,2,male,21,74,73,"Hood, Mr. Ambrose Jr",93033,45003
0,3,male,26,14,74,"Chronopoulos, Mr. Apostolos",285893,47352
1,3,male,32,56,75,"Bing, Mr. Lee",884995,87448
0,3,male,25,8,76,"Moen, Mr. Sigurd Hansen",759031,87478
0,3,male,,8,77,"Staneff, Mr. Ivan",377774,73164
0,3,male,,8,78,"Moutal, Mr. Rahamin Haim",316598,62184
1,2,male,0.83,29,79,"Caldwell, Master. Alden Gates",67555,41143
1,3,female,30,12,80,"Dowdell, Miss. Elizabeth",4815,49984
0,3,male,22,9,81,"Waelens, Mr. Achille",675869,67766
1,3,male,29,10,82,"Sheerlinck, Mr. Jan Baptist",62459,28382
1,3,female,,8,83,"McDermott, Miss. Brigdet Delia",684039,27672
0,1,male,28,47,84,"Carrau, Mr. Francisco M",687601,21231
1,2,female,17,11,85,"Ilett, Miss. Bertha",567340,75004
1,3,female,33,16,86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",962140,87058
0,3,male,16,34,87,"Ford, Mr. William Neal",79581,71552
0,3,male,,8,88,"Slocovski, Mr. Selman Francis",534744,60880
1,1,female,23,263,89,"Fortune, Miss. Mabel Helen",791004,94502
0,3,male,24,8,90,"Celotti, Mr. Francesco",638537,984
0,3,male,29,8,91,"Christmann, Mr. Emil",345920,60109
0,3,male,20,8,92,"Andreasson, Mr. Paul Edvin",193823,11001
0,1,male,46,61,93,"Chaffee, Mr. Herbert Fuller",268201,89227
0,3,male,26,21,94,"Dean, Mr. Bertram Frank",143837,88111
0,3,male,59,7,95,"Coxon, Mr. Daniel",790849,90499
0,3,male,,8,96,"Shorney, Mr. Charles Joseph",443767,35451
0,1,male,71,35,97,"Goldschmidt, Mr. George B",317452,74784
1,1,male,23,63,98,"Greenfield, Mr. William Bertram",143834,43125
1,2,female,34,23,99,"Doling, Mrs. John T (Ada Julia Bone)",572699,64567
0,2,male,34,26,100,"Kantor, Mr. Sinai",46336,97556
0,3,female,28,8,101,"Petranec, Miss. Matilda",102882,27438
0,3,male,,8,102,"Petroff, Mr. Pastcho (""Pentcho"")",555495,72018
0,1,male,21,77,103,"White, Mr. Richard Frasar",638046,31219
0,3,male,33,9,104,"Johansson, Mr. Gustaf Joel",524405,80285
0,3,male,37,8,105,"Gustafsson, Mr. Anders Vilhelm",113130,34837
0,3,male,28,8,106,"Mionoff, Mr. Stoytcho",253681,87100
1,3,female,21,8,107,"Salkjelsvik, Miss. Anna Kristine",770094,90421
1,3,male,,8,108,"Moss, Mr. Albert Johan",736475,91605
0,3,male,38,8,109,"Rekic, Mr. Tido",815298,50862
1,3,female,,24,110,"Moran, Miss. Bertha",152513,65738
0,1,male,47,52,111,"Porter, Mr. Walter Chamberlain",681897,85380
0,3,female,14.5,14,112,"Zabour, Miss. Hileni",403331,85566
0,3,male,22,8,113,"Barton, Mr. David John",186327,10173
0,3,female,20,10,114,"Jussila, Miss. Katriina",828425,48623
0,3,female,17,14,115,"Attalah, Miss. Malake",241008,6734
0,3,male,21,8,116,"Pekoniemi, Mr. Edvard",228933,96807
0,3,male,70.5,8,117,"Connors, Mr. Patrick",374535,24556
0,2,male,29,21,118,"Turpin, Mr. William John Robert",24214,46090
0,1,male,24,248,119,"Baxter, Mr. Quigg Edmond",826722,51464
0,3,female,2,31,120,"Andersson, Miss. Ellis Anna Maria",530728,94340
0,2,male,21,74,121,"Hickman, Mr. Stanley George",41337,22793
0,3,male,,8,122,"Moore, Mr. Leonard Charles",253212,74908
0,2,male,32.5,30,123,"Nasser, Mr. Nicholas",672693,3964
1,2,female,32.5,13,124,"Webber, Miss. Susan",46978,22379
0,1,male,54,77,125,"White, Mr. Percival Wayland",639175,37747
1,3,male,12,11,126,"Nicola-Yarred, Master. Elias",284989,54964
0,3,male,,8,127,"McMahon, Mr. Martin",865517,84287
1,3,male,24,7,128,"Madsen, Mr. Fridtjof Arne",40984,64235
1,3,female,,22,129,"Peter, Miss. Anna",305826,37747
0,3,male,45,7,130,"Ekstrom, Mr. Johan",188230,12457
0,3,male,33,8,131,"Drazenoic, Mr. Jozef",270498,49233
0,3,male,20,7,132,"Coelho, Mr. Domingos Fernandeo",289910,19561
0,3,female,47,15,133,"Robins, Mrs. Alexander A (Grace Charity Laury)",598701,80811
1,2,female,29,26,134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",62115,65635
0,2,male,25,13,135,"Sobey, Mr. Samuel James Hayden",897106,41943
0,2,male,23,15,136,"Richard, Mr. Emile",257860,89788
1,1,female,19,26,137,"Newsom, Miss. Helen Monypeny",700813,39463
0,1,male,37,53,138,"Futrelle, Mr. Jacques Heath",559694,19611
0,3,male,16,9,139,"Osen, Mr. Olaf Elon",189331,45507
0,1,male,24,79,140,"Giglio, Mr. Victor",78070,4637
0,3,female,,15,141,"Boulos, Mrs. Joseph (Sultana)",927541,18772
1,3,female,22,8,142,"Nysten, Miss. Anna Sofia",962350,79428
1,3,female,24,16,143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",323670,53074
0,3,male,19,7,144,"Burke, Mr. Jeremiah",473475,51823
0,2,male,18,12,145,"Andrew, Mr. Edgardo Samuel",913957,33697
0,2,male,19,37,146,"Nicholls, Mr. Joseph Charles",703062,65371
1,3,male,27,8,147,"Andersson, Mr. August Edvard (""Wennerstrom"")",161354,11421
0,3,female,9,34,148,"Ford, Miss. Robina Maggie ""Ruby""",5482,25822
0,2,male,36.5,26,149,"Navratil, Mr. Michel (""Louis M Hoffman"")",356750,46027
0,2,male,42,13,150,"Byles, Rev. Thomas Roussel Davids",495327,16228
0,2,male,51,13,151,"Bateman, Rev. Robert James",644333,22253
1,1,female,22,67,152,"Pears, Mrs. Thomas (Edith Wearne)",330054,3244
0,3,male,55.5,8,153,"Meo, Mr. Alfonzo",399648,72437
0,3,male,40.5,15,154,"van Billiard, Mr. Austin Blyler",566799,2745
0,3,male,,7,155,"Olsen, Mr. Ole Martin",602910,1566
0,1,male,51,61,156,"Williams, Mr. Charles Duane",883470,65420
1,3,female,16,8,157,"Gilnagh, Miss. Katherine ""Katie""",41497,57651
0,3,male,30,8,158,"Corn, Mr. Harry",456842,57225
0,3,male,,9,159,"Smiljanic, Mr. Mile",729439,68637
0,3,male,,70,160,"Sage, Master. Thomas Henry",42055,75301
0,3,male,44,16,161,"Cribb, Mr. John Hatfield",614375,64901
1,2,female,40,16,162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",6254,98521
0,3,male,26,8,163,"Bengtsson, Mr. John Viktor",920088,23779
0,3,male,17,9,164,"Calic, Mr. Jovo",193181,21617
0,3,male,1,40,165,"Panula, Master. Eino Viljami",806526,68052
1,3,male,9,21,166,"Goldsmith, Master. Frank John William ""Frankie""",933937,76391
1,1,female,,55,167,"Chibnall, Mrs. (Edith Martha Bowerman)",277235,32100
0,3,female,45,28,168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",199619,35488
0,1,male,,26,169,"Baumann, Mr. John D",780962,61870
0,3,male,28,56,170,"Ling, Mr. Lee",298378,13205
0,1,male,61,34,171,"Van der hoef, Mr. Wyckoff",923129,23629
0,3,male,4,29,172,"Rice, Master. Arthur",103033,10672
1,3,female,1,11,173,"Johnson, Miss. Eleanor Ileen",591313,74547
0,3,male,21,8,174,"Sivola, Mr. Antti Wilhelm",60345,73792
0,1,male,56,31,175,"Smith, Mr. James Clinch",348843,19500
0,3,male,18,8,176,"Klasen, Mr. Klas Albin",462506,98098
0,3,male,,25,177,"Lefebre, Master. Henry Forbes",616241,80833
0,1,female,50,29,178,"Isham, Miss. Ann Elizabeth",522313,58267
0,2,male,30,13,179,"Hale, Mr. Reginald",825560,17637
0,3,male,36,0,180,"Leonard, Mr. Lionel",796433,69267
0,3,female,,70,181,"Sage, Miss. Constance Gladys",586306,62582
0,2,male,,15,182,"Pernot, Mr. Rene",805103,37046
0,3,male,9,31,183,"Asplund, Master. Clarence Gustaf Hugo",583621,67242
1,2,male,1,39,184,"Becker, Master. Richard F",409770,94500
1,3,female,4,22,185,"Kink-Heilmann, Miss. Luise Gretchen",49147,39584
0,1,male,,50,186,"Rood, Mr. Hugh Roscoe",1777,129
1,3,female,,16,187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",403064,55700
1,1,male,45,27,188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",225739,64598
0,3,male,40,16,189,"Bourke, Mr. John",383722,47611
0,3,male,36,8,190,"Turcin, Mr. Stjepan",670739,98520
1,2,female,32,13,191,"Pinsky, Mrs. (Rosa)",150777,78636
0,2,male,19,13,192,"Carbines, Mr. William",12454,66920
1,3,female,19,8,193,"Andersen-Jensen, Miss. Carla Christine Nielsine",165337,79663
1,2,male,3,26,194,"Navratil, Master. Michel M",690925,53806
1,1,female,44,28,195,"Brown, Mrs. James Joseph (Margaret Tobin)",360775,62404
1,1,female,58,147,196,"Lurette, Miss. Elise",262318,43577
0,3,male,,8,197,"Mernagh, Mr. Robert",768658,58758
0,3,male,42,8,198,"Olsen, Mr. Karl Siegwart Andreas",497631,25435
1,3,female,,8,199,"Madigan, Miss. Margaret ""Maggie""",1439,57403
0,2,female,24,13,200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",6064,34255
0,3,male,28,10,201,"Vande Walle, Mr. Nestor Cyriel",377837,76369
0,3,male,,70,202,"Sage, Mr. Frederick",179424,79009
0,3,male,34,6,203,"Johanson, Mr. Jakob Alfred",665531,60612
0,3,male,45.5,7,204,"Youseff, Mr. Gerious",583798,16509
1,3,male,18,8,205,"Cohen, Mr. Gurshon ""Gus""",429742,45881
0,3,female,2,10,206,"Strom, Miss. Telma Matilda",489522,98383
0,3,male,32,16,207,"Backstrom, Mr. Karl Alfred",460874,31639
1,3,male,26,19,208,"Albimona, Mr. Nassef Cassem",275162,67735
1,3,female,16,8,209,"Carr, Miss. Helen ""Ellen""",420651,1123
1,1,male,40,31,210,"Blank, Mr. Henry",653002,74490
0,3,male,24,7,211,"Ali, Mr. Ahmed",593222,83869
1,2,female,35,21,212,"Cameron, Miss. Clear Annie",190382,97155
0,3,male,22,7,213,"Perkin, Mr. John Henry",832293,69180
0,2,male,30,13,214,"Givard, Mr. Hans Kristensen",145570,69098
0,3,male,,8,215,"Kiernan, Mr. Philip",80583,24961
1,1,female,31,113,216,"Newell, Miss. Madeleine",383805,28306
1,3,female,27,8,217,"Honkanen, Miss. Eliina",182958,27320
0,2,male,42,27,218,"Jacobsohn, Mr. Sidney Samuel",419487,1230
1,1,female,32,76,219,"Bazzani, Miss. Albina",147666,76058
0,2,male,30,11,220,"Harris, Mr. Walter",55919,20180
1,3,male,16,8,221,"Sunderland, Mr. Victor Francis",54632,88166
0,2,male,27,13,222,"Bracken, Mr. James H",382063,51988
0,3,male,51,8,223,"Green, Mr. George Henry",828433,2750
0,3,male,,8,224,"Nenkoff, Mr. Christo",733603,14723
1,1,male,38,90,225,"Hoyt, Mr. Frederick Maxfield",315854,81970
0,3,male,22,9,226,"Berglund, Mr. Karl Ivar Sven",824252,90702
1,2,male,19,11,227,"Mellors, Mr. William John",726623,65062
0,3,male,20.5,7,228,"Lovell, Mr. John Hall (""Henry"")",162161,13270
0,2,male,18,13,229,"Fahlstrom, Mr. Arne Jonas",180688,53314
0,3,female,,25,230,"Lefebre, Miss. Mathilde",494807,85089
1,1,female,35,83,231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",214371,26936
0,3,male,29,8,232,"Larsson, Mr. Bengt Edvin",659253,26995
0,2,male,59,14,233,"Sjostedt, Mr. Ernst Adolf",517494,17287
1,3,female,5,31,234,"Asplund, Miss. Lillian Gertrud",687510,38872
0,2,male,24,11,235,"Leyson, Mr. Robert William Norman",699371,47354
0,3,female,,8,236,"Harknett, Miss. Alice Phoebe",954959,1632
0,2,male,44,26,237,"Hold, Mr. Stephen",172091,88612
1,2,female,8,26,238,"Collyer, Miss. Marjorie ""Lottie""",311417,77394
0,2,male,19,11,239,"Pengelly, Mr. Frederick William",702122,73549
0,2,male,33,12,240,"Hunt, Mr. George Henry",51435,29717
0,3,female,,14,241,"Zabour, Miss. Thamine",316390,73405
1,3,female,,16,242,"Murphy, Miss. Katherine ""Kate""",860642,1468
0,2,male,29,11,243,"Coleridge, Mr. Reginald Charles",775837,21539
0,3,male,22,7,244,"Maenpaa, Mr. Matti Alexanteri",853681,80361
0,3,male,30,7,245,"Attalah, Mr. Sleiman",574012,42060
0,1,male,44,90,246,"Minahan, Dr. William Edward",565179,46256
0,3,female,25,8,247,"Lindahl, Miss. Agda Thorilda Viktoria",869594,16692
1,2,female,24,15,248,"Hamalainen, Mrs. William (Anna)",173845,94817
1,1,male,37,53,249,"Beckwith, Mr. Richard Leonard",986131,79028
0,2,male,54,26,250,"Carter, Rev. Ernest Courtenay",288740,68141
0,3,male,,7,251,"Reed, Mr. James George",308130,50987
0,3,female,29,10,252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",149524,48985
0,1,male,62,27,253,"Stead, Mr. William Thomas",761741,44901
0,3,male,30,16,254,"Lobb, Mr. William Arthur",230575,21884
0,3,female,41,20,255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",336058,26872
1,3,female,29,15,256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",185167,74183
1,1,female,,79,257,"Thorne, Mrs. Gertrude Maybelle",438025,42701
1,1,female,30,87,258,"Cherry, Miss. Gladys",909483,59238
1,1,female,35,512,259,"Ward, Miss. Anna",851098,44720
1,2,female,50,26,260,"Parrish, Mrs. (Lutie Davis)",341170,41410
0,3,male,,8,261,"Smith, Mr. Thomas",229112,14230
1,3,male,3,31,262,"Asplund, Master. Edvin Rojj Felix",438787,97070
0,1,male,52,80,263,"Taussig, Mr. Emil",722522,26627
0,1,male,40,0,264,"Harrison, Mr. William",774643,8036
0,3,female,,8,265,"Henry, Miss. Delia",249069,70881
0,2,male,36,11,266,"Reeves, Mr. David",732080,38460
0,3,male,16,40,267,"Panula, Mr. Ernesti Arvid",205733,75719
1,3,male,25,8,268,"Persson, Mr. Ernst Ulrik",135974,11905
1,1,female,58,153,269,"Graham, Mrs. William Thompson (Edith Junkins)",129093,69753
1,1,female,35,136,270,"Bissette, Miss. Amelia",897805,72960
0,1,male,,31,271,"Cairns, Mr. Alexander",97862,485
1,3,male,25,0,272,"Tornquist, Mr. William Henry",82255,25334
1,2,female,41,20,273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",691448,67177
0,1,male,37,30,274,"Natsch, Mr. Charles H",35158,80671
1,3,female,,8,275,"Healy, Miss. Hanora ""Nora""",673451,1809
1,1,female,63,78,276,"Andrews, Miss. Kornelia Theodosia",940507,84140
0,3,female,45,8,277,"Lindblom, Miss. Augusta Charlotta",455260,14922
0,2,male,,0,278,"Parkes, Mr. Francis ""Frank""",430389,77996
0,3,male,7,29,279,"Rice, Master. Eric",726680,3396
1,3,female,35,20,280,"Abbott, Mrs. Stanton (Rosa Hunt)",48077,23422
0,3,male,65,8,281,"Duane, Mr. Frank",178780,45585
0,3,male,28,8,282,"Olsson, Mr. Nils Johan Goransson",861041,47750
0,3,male,16,10,283,"de Pelsmaeker, Mr. Alfons",867452,28389
1,3,male,19,8,284,"Dorking, Mr. Edward Arthur",706185,16609
0,1,male,,26,285,"Smith, Mr. Richard William",658946,43724
0,3,male,33,9,286,"Stankovic, Mr. Ivan",472947,41730
1,3,male,30,10,287,"de Mulder, Mr. Theodore",161903,58727
0,3,male,22,8,288,"Naidenoff, Mr. Penko",799360,98568
1,2,male,42,13,289,"Hosono, Mr. Masabumi",309480,48542
1,3,female,22,8,290,"Connolly, Miss. Kate",569448,18125
1,1,female,26,79,291,"Barber, Miss. Ellen ""Nellie""",451316,44387
1,1,female,19,91,292,"Bishop, Mrs. Dickinson H (Helen Walton)",436077,72652
0,2,male,36,13,293,"Levy, Mr. Rene Jacques",705352,35420
0,3,female,24,9,294,"Haas, Miss. Aloisia",1222,34105
0,3,male,24,8,295,"Mineff, Mr. Ivan",533505,69501
0,1,male,,28,296,"Lewy, Mr. Ervin G",130541,19978
0,3,male,23.5,7,297,"Hanna, Mr. Mansour",409195,7806
0,1,female,2,152,298,"Allison, Miss. Helen Loraine",544751,58552
1,1,male,,31,299,"Saalfeld, Mr. Adolphe",205192,83839
1,1,female,50,248,300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",675019,34484
1,3,female,,8,301,"Kelly, Miss. Anna Katherine ""Annie Kate""",240729,56710
1,3,male,,23,302,"McCoy, Mr. Bernard",188444,19259
0,3,male,19,0,303,"Johnson, Mr. William Cahoone Jr",141032,29606
1,2,female,,12,304,"Keane, Miss. Nora A",9355,64412
0,3,male,,8,305,"Williams, Mr. Howard Hugh ""Harry""",142989,79901
1,1,male,0.92,152,306,"Allison, Master. Hudson Trevor",377711,16312
1,1,female,,111,307,"Fleming, Miss. Margaret",875624,6313
1,1,female,17,109,308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",841027,96651
0,2,male,30,24,309,"Abelson, Mr. Samuel",507870,58226
1,1,female,30,57,310,"Francatelli, Miss. Laura Mabel",659669,21725
1,1,female,24,83,311,"Hays, Miss. Margaret Bechstein",828272,69664
1,1,female,18,262,312,"Ryerson, Miss. Emily Borie",169676,31520
0,2,female,26,26,313,"Lahtinen, Mrs. William (Anna Sylfven)",736460,60514
0,3,male,28,8,314,"Hendekovic, Mr. Ignjac",831333,53673
0,2,male,43,26,315,"Hart, Mr. Benjamin",934990,9186
1,3,female,26,8,316,"Nilsson, Miss. Helmina Josefina",550168,53376
1,2,female,24,26,317,"Kantor, Mrs. Sinai (Miriam Sternin)",811855,34725
0,2,male,54,14,318,"Moraweck, Dr. Ernest",617426,32032
1,1,female,31,165,319,"Wick, Miss. Mary Natalie",140644,46978
1,1,female,40,135,320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",582726,30524
0,3,male,22,7,321,"Dennis, Mr. Samuel",443141,69948
0,3,male,27,8,322,"Danoff, Mr. Yoto",262450,16554
1,2,female,30,12,323,"Slayter, Miss. Hilda Mary",975274,54479
1,2,female,22,29,324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",147640,94029
0,3,male,,70,325,"Sage, Mr. George John Jr",29477,6548
1,1,female,36,136,326,"Young, Miss. Marie Grice",459707,90599
0,3,male,61,6,327,"Nysveen, Mr. Johan Hansen",202246,41372
1,2,female,36,13,328,"Ball, Mrs. (Ada E Hall)",963059,51940
1,3,female,31,21,329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",347602,51250
1,1,female,16,58,330,"Hippach, Miss. Jean Gertrude",119011,52433
1,3,female,,23,331,"McCoy, Miss. Agnes",431696,68642
0,1,male,45.5,29,332,"Partner, Mr. Austen",974793,36102
0,1,male,38,153,333,"Graham, Mr. George Edward",179887,18232
0,3,male,16,18,334,"Vander Planke, Mr. Leo Edmondus",805542,92239
1,1,female,,134,335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",757587,17099
0,3,male,,8,336,"Denkoff, Mr. Mitto",368256,93781
0,1,male,29,67,337,"Pears, Mr. Thomas Clinton",373942,59932
1,1,female,41,135,338,"Burns, Miss. Elizabeth Margaret",637573,50656
1,3,male,45,8,339,"Dahl, Mr. Karl Edwart",668423,34191
0,1,male,45,36,340,"Blackwell, Mr. Stephen Weart",648198,62694
1,2,male,2,26,341,"Navratil, Master. Edmond Roger",623961,81282
1,1,female,24,263,342,"Fortune, Miss. Alice Elizabeth",175811,45242
0,2,male,28,13,343,"Collander, Mr. Erik Gustaf",591789,79289
0,2,male,25,13,344,"Sedgwick, Mr. Charles Frederick Waddington",614304,26954
0,2,male,36,13,345,"Fox, Mr. Stanley Hubert",601281,9801
1,2,female,24,13,346,"Brown, Miss. Amelia ""Mildred""",166468,7707
1,2,female,40,13,347,"Smith, Miss. Marion Elsie",646818,90337
1,3,female,,16,348,"Davison, Mrs. Thomas Henry (Mary E Finck)",14526,6618
1,3,male,3,16,349,"Coutts, Master. William Loch ""William""",976877,91039
0,3,male,42,9,350,"Dimic, Mr. Jovan",362364,69049
0,3,male,23,9,351,"Odahl, Mr. Nils Martin",430419,59761
0,1,male,,35,352,"Williams-Lambert, Mr. Fletcher Fellows",856022,40356
0,3,male,15,7,353,"Elias, Mr. Tannous",46140,84090
0,3,male,25,18,354,"Arnold-Franchi, Mr. Josef",711426,88265
0,3,male,,7,355,"Yousif, Mr. Wazli",875351,69530
0,3,male,28,10,356,"Vanden Steen, Mr. Leo Peter",799028,18427
1,1,female,22,55,357,"Bowerman, Miss. Elsie Edith",171347,37407
0,2,female,38,13,358,"Funk, Miss. Annie Clemmer",839050,68744
1,3,female,,8,359,"McGovern, Miss. Mary",879355,58136
1,3,female,,8,360,"Mockler, Miss. Helen Mary ""Ellie""",389197,61323
0,3,male,40,28,361,"Skoog, Mr. Wilhelm",375542,35653
0,2,male,29,28,362,"del Carlo, Mr. Sebastiano",684217,80110
0,3,female,45,14,363,"Barbara, Mrs. (Catherine David)",607550,8218
0,3,male,35,7,364,"Asim, Mr. Adola",877703,55135
0,3,male,,16,365,"O'Brien, Mr. Thomas",16332,59555
0,3,male,30,7,366,"Adahl, Mr. Mauritz Nils Martin",786247,71705
1,1,female,60,75,367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",9195,37972
1,3,female,,7,368,"Moussa, Mrs. (Mantoura Boulos)",647683,7070
1,3,female,,8,369,"Jermyn, Miss. Annie",175993,91647
1,1,female,24,69,370,"Aubart, Mme. Leontine Pauline",977275,79686
1,1,male,25,55,371,"Harder, Mr. George Achilles",576654,94978
0,3,male,18,6,372,"Wiklund, Mr. Jakob Alfred",749419,43464
0,3,male,19,8,373,"Beavan, Mr. William Thomas",322775,29350
0,1,male,22,136,374,"Ringhini, Mr. Sante",263854,71311
0,3,female,3,21,375,"Palsson, Miss. Stina Viola",833682,19581
1,1,female,,82,376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",742563,79677
1,3,female,22,7,377,"Landergren, Miss. Aurora Adelia",207236,45892
0,1,male,27,212,378,"Widener, Mr. Harry Elkins",535584,2000
0,3,male,20,4,379,"Betros, Mr. Tannous",29130,46378
